Year,Player,Team,PA,AVG,OBP,SLG,Goabroad,,,
2013,高國輝,富邦,398,0.35,0.411,0.566,T,,,
2013,林益全,富邦,467,0.357,0.415,0.549,F,,,
2013,林泓育,Lamigo,460,0.343,0.415,0.498,F,,,
2013,彭政閔,中信,477,0.318,0.419,0.454,F,,,
2013,鄧志偉,統一,398,0.308,0.357,0.478,F,,,
2013,胡金龍,富邦,414,0.344,0.368,0.466,T,,,
2013,周思齊,中信,445,0.316,0.373,0.451,F,,,
2013,陳鏞基,統一,433,0.314,0.376,0.439,T,,,
2013,張泰山,統一,505,0.289,0.329,0.417,F,,,
2013,林志祥,統一,388,0.308,0.352,0.362,F,,,
2013,張正偉,中信,434,0.308,0.351,0.361,F,,,
2013,高國慶,統一,447,0.294,0.331,0.383,F,,,
2013,張志豪,中信,438,0.27,0.336,0.369,F,,,
2013,林智平,Lamigo,382,0.286,0.347,0.338,F,,,
2013,張建銘,富邦,436,0.279,0.322,0.364,F,,,
2013,鍾承佑,Lamigo,412,0.258,0.288,0.374,F,,,
2013,郭健瑜,中信,401,0.288,0.331,0.323,F,,,
2013,余德龍,Lamigo,436,0.277,0.306,0.342,F,,,
2013,唐肇廷,統一,384,0.255,0.303,0.338,T,,,
2013,詹智堯,Lamigo,407,0.253,0.31,0.331,F,,,
2013,黃仕豪,中信,449,0.267,0.308,0.33,F,,,
2013,王勝偉,中信,486,0.249,0.298,0.319,F,,,
2014,林益全,富邦,520,0.346,0.398,0.51,F,,,
2014,林泓育,Lamigo,426,0.313,0.372,0.488,F,,,
2014,胡金龍,富邦,505,0.35,0.391,0.458,T,,,
2014,彭政閔,中信,488,0.301,0.415,0.411,F,,,
2014,陳鏞基,統一,394,0.314,0.367,0.442,T,,,
2014,林智勝,Lamigo,441,0.279,0.348,0.442,F,,,
2014,張正偉,中信,534,0.32,0.375,0.403,F,,,
2014,劉芙豪,統一,466,0.271,0.339,0.415,F,,,
2014,張志豪,中信,443,0.262,0.312,0.431,F,,,
2014,鄧志偉,統一,445,0.258,0.339,0.399,F,,,
2014,詹智堯,Lamigo,437,0.286,0.364,0.361,F,,,
2014,林志祥,統一,381,0.308,0.349,0.37,F,,,
2014,周思齊,中信,377,0.277,0.354,0.364,F,,,
2014,張建銘,富邦,484,0.299,0.335,0.346,F,,,
2014,林智平,Lamigo,415,0.275,0.336,0.326,F,,,
2014,黃仕豪,中信,474,0.266,0.299,0.356,F,,,
2014,王勝偉,中信,383,0.254,0.305,0.3,F,,,
2015,林智勝,Lamigo,495,0.38,0.469,0.689,F,,,
2015,林泓育,Lamigo,508,0.353,0.443,0.581,F,,,
2015,高國輝,富邦,545,0.324,0.387,0.629,T,,,
2015,林益全,富邦,512,0.367,0.422,0.586,F,,,
2015,胡金龍,富邦,489,0.383,0.429,0.558,T,,,
2015,陳俊秀,Lamigo,475,0.335,0.401,0.589,T,,,
